Title,Company Name,Area,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Gender,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Product Specialist ,nanostetic,,Cairo,Egypt,Full Time,Experienced,2,10,,Wuzzuf,Medical,Healthcare ,,Pharmacy,,Sales,Retail,,,Pharmaceutical,Medical,Sales,
Product Specialist ,Soficopharm,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Medical,Healthcare ,,Product,,Sales,Retail,,,Pharmaceutical,Pharmacy,Pharmaceutical,
Product Specialist - Medical Equipment - Tanta,Surgitech,,Gharbia,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Medical,Healthcare,,Medical,Healthcare,,Medical,Sales/Retail,Pharmaceutical,Pharmaceutical,Pharmacy,selling skills,
Product Specialist -Assiut,nanostetic,,Assiut,Egypt,Full Time,Experienced,2,10,,Wuzzuf,Medical,Healthcare ,,Communication,,Sales,Retail,,,Pharmaceutical,Communication skills,Medical,
Senior Quality Specialist,Confidential,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Medical,Healthcare ,,Quality Control,,Quality,,,,,,,
Sales Coordinator (In Door),GROOVY Medical Spa,,Giza,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Medical,Healthcare ,,Communication skills,,Sales,Retail,,,Communication skills,Sales,Sales Target,
Sales Engineer-Radiology,Allamna Integrated Solutions,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,Medical,Healthcare ,,Biomedical,,Sales,Retail,,,Engineering - Other,Biomedical engineer,Medical Equipment,
Service Engineer,Delta Medical,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Medical,Healthcare ,,Biomedical Engineering,,Biomedical Engineering,,,,,,,
Sales Executive,Future Medical,,Cairo,Egypt,Full Time,Entry Level,0,3,,Wuzzuf,Medical,Healthcare ,,Medical,,Sales,Retail,,,Pharmaceutical,Medical Sales,Medical Equipment,
Sales Manager,Royal Lab,,Giza,Egypt,Full Time,Manager,7,10,,Wuzzuf,Medical,Healthcare ,,Communication skills,,Sales,Retail,,,Pharmaceutical,Pharmacy,Sales Target,
Sales Manager,Soficopharm,,Cairo,Egypt,Full Time,Manager,10,15,,Wuzzuf,Medical,Healthcare ,,Cosmetics,,Sales,Retail,,,Pharmaceutical,Sales,MEDICINE,
Sales Officer,Medoc,,Alexandria,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Medical,Healthcare ,,Outdoor Sales,,Sales,Retail,,,Pharmaceutical,Negotiation,Sales,
Sales Representative,CareVue,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Medical,Healthcare ,,Sales Skills,,Sales,Retail,,,Pharmaceutical,Communication Skills,Sales Target,
Sales Representative,Capital One holding for investment,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Medical,Healthcare ,,Sales,,Sales,Retail,,,Sales,Medical Sales,Communication skills,
Sales Representative,Merty Pharma,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Medical,Healthcare ,,Sales,,Sales,Retail,,,Sales,Sales Target,sales skills,
Sales Representative,Medicals International,,Aswan,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Medical,Healthcare ,,Medical,,Sales,Retail,,,Medical,Sales,sales skills,
Sales Representative,Enlife Healthcare,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Medical,Healthcare ,,Customer Service,,Sales,Retail,,,Pharmaceutical,Sales Target,Communication,
Sales Representative ,dkt Egypt,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Medical,Healthcare ,,Sales,,Sales,Retail,,,Pharmaceutical,Marketing,Promotion,
Sales Representative ,Enlife Healthcare,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Medical,Healthcare ,,Customer Service,,Sales,Retail,,,Pharmaceutical,Sales Target,Communication,
Sales Representative ( Business Advisor ),TEBCOM,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Medical,Healthcare ,,Medical Technology,,Sales,Retail,,,Pharmaceutical,Healthcare Service,Sales,
Sales Representative ( Business Advisor ) ,TEBCOM,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Medical,Healthcare ,,Medical Technology,,Sales,Retail,,,Pharmaceutical,Healthcare Service,Sales,
Sales Specialist,On target,,Cairo,Egypt,Full Time,Entry Level,0,1,,Wuzzuf,Medical,Healthcare ,,Sales Target,,Sales,Retail,,,Sales Target,Customer Service,sales skills,
Sales Specialist,Surgitech,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Medical,Healthcare ,,English,,Sales,Retail,,,Pharmaceutical,Medical,selling skills,
Sales Supervisor,Cure Group,,Cairo,Egypt,Full Time,Manager,2,,,Wuzzuf,Medical,Healthcare ,,Pharmacy,,Sales,Retail,,,Pharmaceutical,Sales,Science,
Sales Supervisor (International Medical Insurance),Beyond Insurance Brokerage,,Cairo,Egypt,Full Time,Experienced,5,7,,Wuzzuf,Medical,Healthcare ,,sales skills,,Sales,Retail,,,sales skills,Medical,Sales,
Business Unit Manager,Macro Group,,Cairo,Egypt,Full Time,Manager,10,,,Wuzzuf,Business Development,Business,Operations/Management,,,,,,,,,,
Senior Medical Sales Representative,Confidential,,Cairo,Egypt,Full Time,Experienced,5,8,,Wuzzuf,Medical,Healthcare ,,Medical Sales,,Sales,Retail,,,Pharmaceutical,Pharmacy,Sales,
Technical Sales Representative,Calvatis Egypt,,Giza,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Medical,Healthcare ,,Agriculture,,Sales,Retail,,,Engineering - Other,Sales,sales skills,
Technical Sales Representative. Cairo,Confidential,,Cairo,Egypt,Full Time,Experienced,1,3,,Wuzzuf,Medical,Healthcare ,,Medical Sales,,Sales,Retail,,,Medical Sales,Engineering,Sales,
Virtual Medical Sales Executive,Docspert,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Medical,Healthcare ,,Medical,,Sales,Retail,,,Medical,Medical Sales,Sales Executive,
Butler,Marriott,,Cairo,Egypt,,,,,,Bayat,,,,,,,,,,,,,
Butler,Four Seasons,,Sharm el Sheikh,Egypt,,,,,,Bayat,,,,,,,,,,,,,
"Controls Engineer III, Cairo Office",Advansys,,Cairo,Egypt,,,,,,Bayat,,,,,,,,,,,,,
Butler Supervisor,Four Seasons,,Sharm el Sheikh,Egypt,,,,,,Bayat,,,,,,,,,,,,,
COO,Al-hakeema,,Cairo,Egypt,Full Time,Senior Management,5,10,,Wuzzuf,Operations,Management ,,ERP,,Medical/Healthcare,,,,,,,
COO,Premieregypt,,,Egypt,,,,,,Bayat,,,,,,,,,,,,,
Capacity Assurance & ToC Technical Lead,Vodafone,,Cairo,Egypt,,,,,,Bayat,,,,,,,,,,,,,
Captain (Egyptian National),Kempinski Hotel,,,Egypt,,,,,,Bayat,,,,,,,,,,,,,
Captain (Egyptian National) – (in English),Kempinski Hotel,,,Egypt,,,,,,Bayat,,,,,,,,,,,,,
Copy Editor- USAID Egypt TRADE,Palladium Group,,,Egypt,,,,,,LinkedIn,,,,,,,,,,,,,
Copywriter - Cairo - Egypt,Vezeeta,,Cairo,Egypt,,,,,,Bayat,,,,,,,,,,,,,
Corporate Account Executive,Libano-Suisse Takaful Egypt,,,Egypt,,,,,,LinkedIn,,,,,,,,,,,,,
Corporate Affairs & Communication Supervisor,JTI,,Cairo,Egypt,,,,,,Bayat,,,,,,,,,,,,,
Aftermarket Sales Manager,Johnson Controls,,Cairo,Egypt,Full Time,Manager,8,10,,Wuzzuf,Operations,Management ,,Engineering,,Sales,Retail,,,Engineering,People Management,sales skills,
Agents & Wholesaler Manager,Confidential,,Cairo,Egypt,Full Time,Manager,15,20,,Wuzzuf,Operations,Management ,,Customer Care,,Sales,Retail,,,Customer Care,Customer Service,Sales,
Area/Regional Sales Manager,Life Medical Consult,,Cairo,Egypt,Full Time,Manager,5,15,,Wuzzuf,Operations,Management ,,Medical Devices,,Medical/Healthcare,,,,,,,
Audition Specialist ,Mico World Limited,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Operations,Management ,,English,,English,,,,,,,
Area Manager,Confidential,,Cairo,Egypt,Full Time,Manager,5,7,,Wuzzuf,Operations,Management ,,Retail,,Sales,Retail,,,Fashion,Management,Sales Target,
Area Manager,Huawei Egypt Device,,Alexandria,Egypt,Full Time,Manager,3,5,,Wuzzuf,Operations,Management ,,FMCG,,Sales,Retail,,,FMCG,Sales,product manager,
Area Manager -Fashion Retail,Men's Club,,Gharbia,Egypt,Full Time,Manager,5,,,Wuzzuf,Operations,Management ,,Fashion Retail,,Sales,Retail,,,Fashion,Retail Management,Sales Target,
Area Manager Pharmacist,Khalil Pharmacies,,Alexandria,Egypt,Full Time,Manager,5,10,,Wuzzuf,Operations,Management ,,Inventory Management,,Sales,Retail,,,Pharmaceutical,Medical,Patient Counseling,
Area Operations Manager,MQR,,Giza,Egypt,Full Time,Manager,3,5,,Wuzzuf,Operations,Management ,,Management,,Sales,Retail,,,Management,Operations,Sales,
Area Sales Manager,Aman,,Beheira,Egypt,Full Time,Manager,8,13,,Wuzzuf,Operations,Management ,,sales skills,,Sales,Retail,,,sales skills,Sales,Management,
Area Sales Manager,NELES,,Cairo,Egypt,Full Time,Manager,10,12,,Wuzzuf,Operations,Management ,,Control Valves,,Marketing,PR,Advertising,,Sales/Retail,Egypt,Sales,
Area Sales Manager,Confidential,,Giza,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Operations,Management ,,Sales Management,,Sales,Retail,,,Sales Management,Sales,Sales Target,
Area Sales Manager,Brand House,,Cairo,Egypt,Full Time,Manager,3,6,,Wuzzuf,Operations,Management ,,Sales Manager,,Sales,Retail,,,Fashion,Area Sales,Fashion,
Area Sales Manager,Drakestore,,Giza,Egypt,Full Time,Manager,5,7,,Wuzzuf,Operations,Management ,,Retail,,Sales,Retail,,,Retail,Sales,Business Administration,
Area Sales Manager Alexandria,Prifix,,Alexandria,Egypt,Full Time,Manager,3,6,,Wuzzuf,Operations,Management ,,Management,,Marketing,PR,Advertising,,Sales/Retail,Industry,Negotiation,
Area Sales Manager-Retail,Monginis Food Industries & Services,,Giza,Egypt,Full Time,Manager,5,,,Wuzzuf,Operations,Management ,,Area Manager,,Sales,Retail,,,Area Manager,Management,Food Services,
Area Supervisor,Confidential,,Alexandria,Egypt,Full Time,Experienced,3,,,Wuzzuf,Operations,Management ,,Area Manager,,Marketing,PR,Advertising,,Sales/Retail,FMCG,English,
Assistant Branch Manager,Elabd Foods,,Giza,Egypt,Full Time,Manager,7,,,Wuzzuf,Operations,Management ,,FMCG,,Sales,Retail,,,FMCG,Customer Service,Customer Support,
Assistant Store Manager,BELLA DONNA,,Alexandria,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Operations,Management ,,Sales,,Sales,Retail,,,Fashion,Sales Target,Store Management,
Assistant Store Manager,A2Z Lingerie,,Alexandria,Egypt,Full Time,Experienced,2,,,Wuzzuf,Operations,Management ,,Retail,,Sales,Retail,,,Fashion,Sales,Fashion,
Assistant Store Manager ,BELLA DONNA,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Operations,Management ,,Sales,,Sales,Retail,,,Fashion,Sales Target,Store Management,
Assistant Store Manager-Mit Ghamr,Kazary,,Dakahlia,Egypt,Full Time,Manager,4,,,Wuzzuf,Operations,Management ,,Retail,,Sales,Retail,,,Fashion,Sales,Store Management,
Asst Store Manager,E-tronic Samsung,,Cairo,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Operations,Management ,,Electronics,,Sales,Retail,,,Electronics,Retail,Sales,
Branch Manager,J&T EXPRESS,,Qena,Egypt,Full Time,Manager,1,,,Wuzzuf,Operations,Management ,,Branch Management,,Branch Management,,,,,,,
Branch Manager,Cairoscan,,Cairo,Egypt,Full Time,Manager,5,,,Wuzzuf,Operations,Management ,,labs,,Medical/Healthcare,,,,,,,
Branch Pharmacist,Soficopharm,,Port Said,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Operations,Management ,,Branch Management,,Pharmaceutical,,,,,,,
Branch Pharmacist,Soficopharm,,Damietta,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Operations,Management ,,Branch Management,,Pharmaceutical,,,,,,,
Branch Pharmacist,Soficopharm,,Ismailia,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Operations,Management ,,Branch Management,,Pharmaceutical,,,,,,,
Automotive Operations Manager,Confidential,,Cairo,Egypt,Full Time,Manager,5,7,,Wuzzuf,Operations,Management ,,Management,,Engineering,Mechanical,Electrical,,Management,Microsoft Office,Maintenance,
B2B E-commerce Supervisor,Rashideen Egypt for Trade,,Cairo,Egypt,Full Time,Manager,2,4,,Wuzzuf,Operations,Management ,,B2B,,Sales,Retail,,,B2B,E-Commerce,Sales Field,
Branch Manager,Confidential,,Sohag,Egypt,Full Time,Experienced,3,4,,Wuzzuf,Operations,Management ,,Indoor Sales,,Sales,Retail,,,Indoor Sales,Fashion Retail,Retail Sales,
Branch Manager,Alarabia Group,,Cairo,Egypt,Full Time,Manager,3,6,,Wuzzuf,Operations,Management ,,Branch Management,,Sales,Retail,,,Branch Management,Customer Service,Communication,
Branch Manager,al mothlth el akary,,Dakahlia,Egypt,Full Time,Manager,3,5,,Wuzzuf,Operations,Management ,,Branch Management,,Sales,Retail,,,Branch Management,Real Estate,Sales,
Branch Manager,TyrePro Egypt Co. Continental Tyres,,Cairo,Egypt,Full Time,Manager,2,3,,Wuzzuf,Operations,Management ,,Branch Management,,Sales,Retail,,,Branch Management,Sales,Sales Skills,
Branch Manager,Abdeen pharmacies,,Cairo,Egypt,Full Time,Manager,1,5,,Wuzzuf,Operations,Management ,,Branch Management,,Sales,Retail,,,Pharmaceutical,Pharmacy,,
Branch Manager Pharmacist,Khalil Pharmacies,,Alexandria,Egypt,Full Time,Manager,5,,,Wuzzuf,Operations,Management ,,Operations,,Sales,Retail,,,Pharmaceutical,Pharmacy,Management,
Brand Loyalty Manager,Carina Wear,,Cairo,Egypt,Full Time,Manager,5,,,Wuzzuf,Operations,Management ,,Branding,,Marketing,PR,Advertising,,Fashion,Communication,Marketing,
Brand Manager,Caduceus Lane,,Alexandria,Egypt,Full Time,Manager,6,,,Wuzzuf,Operations,Management ,,Advertising,,Marketing,PR,Advertising,,Media/Journalism/Publishing,B2B,Brand,
Care Homes Development Senior Specialist,Wataneya for the Development of Orphanages,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,Operations,Management ,,Care Homes,,Quality,,,,,,,
Category Manager,Confidential,,Cairo,Egypt,Full Time,Manager,2,5,,Wuzzuf,Operations,Management ,,Category Management,,Medical/Healthcare,,,,,,,
Clinical Governance Manger,Andalusia Group,,Alexandria,Egypt,Full Time,Manager,5,,,Wuzzuf,Operations,Management ,,Auditing,,Medical/Healthcare,,,,,,,
Construction Manager,Aresco for Manufacturing & Industrial Projects,,Cairo,Egypt,Full Time,Manager,7,10,,Wuzzuf,Operations,Management ,,tanks,,Manufacturing/Production,,,,,,,
Category Manager,Defacto,,Cairo,Egypt,Full Time,Manager,7,10,,Wuzzuf,Operations,Management ,,Category Management,,Marketing,PR,Advertising,,Fashion,E-Commerce,Retail,
Category Manager,Spinneys Egypt,,Cairo,Egypt,Full Time,Manager,2,5,,Wuzzuf,Operations,Management ,,Category Management,,Marketing,PR,Advertising,,Category Management,Retail,Sales,
Commercial Director,Confidential,,Cairo,Egypt,Full Time,Manager,3,5,,Wuzzuf,Operations,Management ,,Fashion,,Sales,Retail,,,Fashion,Commercial,Leadership,
Commercial Director,Rekaz Developments,,Cairo,Egypt,Full Time,Manager,3,7,,Wuzzuf,Operations,Management ,,Budgeting,,Marketing,PR,Advertising,,Sales/Retail,business,Marketing,
Data Operations Associate (Cairo),Nana,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Operations,Management ,,computer,,computer,,,,,,,
Commercial Manager,SATA Group,,Cairo,Egypt,Full Time,Manager,5,10,,Wuzzuf,Operations,Management ,,Commercial,,Analyst,Research,,,Commercial,Management,Leadership,
Commercial Manager,Confidential,,Cairo,Egypt,Full Time,Manager,10,15,,Wuzzuf,Operations,Management ,,Sales,,Marketing,PR,Advertising,,Sales/Retail,Retail,Marketing,
Commercial Manager,COPE,,Cairo,Egypt,Full Time,Manager,4,10,,Wuzzuf,Operations,Management ,,Commercial,,Marketing,PR,Advertising,,Sales/Retail,Management,Sales,
Corporate Branding Supervisor,Confidential,,Cairo,Egypt,Full Time,Manager,5,,,Wuzzuf,Operations,Management ,,Branding,,Marketing,PR,Advertising,,Media/Journalism/Publishing,Marketing,Media,
Country Area Executive,Defacto,,Cairo,Egypt,Full Time,Manager,12,15,,Wuzzuf,Operations,Management ,,Retail,,Sales,Retail,,,Fashion,Fashion Retail,Retail Management System (RMS),
Dredge Master,Misr for construction and trading,,Cairo,Egypt,Full Time,Experienced,5,7,,Wuzzuf,Operations,Management ,,Dredging,,Manufacturing/Production,,,,,,,
Dredge Mate,Misr for construction and trading,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Operations,Management ,,Marine Engineering,,Manufacturing/Production,,,,,,,
Factory Manager,Confidential,,Cairo,Egypt,Full Time,Manager,10,,,Wuzzuf,Operations,Management ,,Furniture,,Manufacturing/Production,,,,,,,
Factory Manager,MEDIC,,Monufya,Egypt,Full Time,Manager,10,,,Wuzzuf,Operations,Management ,,Engineering,,Manufacturing/Production,,,,,,,
Fashion Account Manager,Confidential,,Cairo,Egypt,Full Time,Experienced,2,6,,Wuzzuf,Operations,Management ,,Account,,Manufacturing/Production,,,,,,,
District Sales Manager,Fashion Retail Group,,Cairo,Egypt,Full Time,Manager,9,15,,Wuzzuf,Operations,Management ,,Operations,,Sales,Retail,,,Operations,Retail,Communication skills,
E Commerce Specialist,Nahdet Misr Publishing Group,,Giza,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Operations,Management ,,E-Commerce,,Marketing,PR,Advertising,,Sales/Retail,Operations Management,Order Tracking,
E-Commerce Coordinator,Egyptian Tabletop Trading Company,,Giza,Egypt,Full Time,Experienced,4,5,,Wuzzuf,Operations,Management ,,E-Marketing,,Marketing,PR,Advertising,,Media/Journalism/Publishing,E-Commerce,Marketing,
E-Commerce Manager,Shaheen Center,,Giza,Egypt,Full Time,Manager,5,7,,Wuzzuf,Operations,Management ,,E-Commerce,,Marketing,PR,Advertising,,Media/Journalism/Publishing,Marketing,Media,
E-Commerce Manager,Semak,,Giza,Egypt,Full Time,Manager,4,,,Wuzzuf,Operations,Management ,,business,,Marketing,PR,Advertising,,Sales/Retail,E-Marketing,Sales,
E-Commerce Product Manager,RAQAMYAT,,Cairo,Egypt,Full Time,Manager,8,,,Wuzzuf,Operations,Management ,,E-Commerce,,Marketing,PR,Advertising,,Sales/Retail,E-Marketing,Product Management,
E-Commerce Specialist,Valleyware,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Operations,Management ,,E-Commerce,,Marketing,PR,Advertising,,Sales/Retail,Stores Management,Store Online,
Electrical Technician Office Manager,Giza power,,Cairo,Egypt,Full Time,Manager,10,12,,Wuzzuf,Operations,Management ,,Electrical,,Engineering,Mechanical,Electrical,,Electrical,Electrical Engineering,Engineering,
Furniture Upholstery Production Manager,Kian Egypt,,Cairo,Egypt,Full Time,Manager,3,,,Wuzzuf,Operations,Management ,,Furniture,,Manufacturing/Production,,,,,,,
Employer Branding & Communications Manager,DYNINNO Egypt,,Giza,Egypt,Full Time,Manager,7,10,,Wuzzuf,Operations,Management ,,Social Media,,Marketing,PR,Advertising,,Media/Journalism/Publishing,Communication,Marketing,
Health & Safety Section Head,Wadi Degla Group,,Damietta,Egypt,Full Time,Manager,5,8,,Wuzzuf,Operations,Management ,,Safety,,Quality,,,,,,,
Health & Safety Section Head,Wadi Degla Group,,Damietta,Egypt,Full Time,Manager,5,8,,Wuzzuf,Operations,Management ,,NEBOSH,,Quality,,,,,,,
HSE Deputy Manager,Confidential,,Giza,Egypt,Full Time,Experienced,6,8,,Wuzzuf,Operations,Management ,,Health and Safety,,Quality,,,,,,,
HSE Manager,Pharma Overseas,,Giza,Egypt,Full Time,Manager,8,10,,Wuzzuf,Operations,Management ,,Engineering,,Quality,,,,,,,
International Store Auditor,LC Waikiki,,Cairo,Egypt,Full Time,Experienced,4,,,Wuzzuf,Operations,Management ,,Auditing,,Auditing,,,,,,,
General Manager For Travel Agency,Confidential,,Cairo,Egypt,Full Time,Senior Management,10,20,,Wuzzuf,Operations,Management ,,Management,,Tourism,Travel,,,Management,Travel tourism,Tourism,
General Manager of Operation,Menatours,,Giza,Egypt,Full Time,Manager,15,,,Wuzzuf,Operations,Management ,,general manager,,Tourism,Travel,,,general manager,Operations,Tourism,
Group Digital Marketing Manager,E3mel Business for Financial & Managerial Consultancy,,Cairo,Egypt,Full Time,Manager,12,20,,Wuzzuf,Operations,Management ,,Digital Marketing,,Marketing,PR,Advertising,,Media/Journalism/Publishing,SEO,Social Media,
Growth Manager (Brand Manager ),B.TECH,,Cairo,Egypt,Full Time,Manager,7,10,,Wuzzuf,Operations,Management ,,Marketing,,Marketing,PR,Advertising,,Media/Journalism/Publishing,business,Growth,
Head Of Loyalty Programs ,B.TECH,,Cairo,Egypt,Full Time,Manager,8,12,,Wuzzuf,Operations,Management ,,Customer Loyalty Management,,Marketing,PR,Advertising,,Customer Loyalty Management,Customer Experience,Customer Retention,
Head OF Marketing,siParadigm Egypt,,Cairo,Egypt,Full Time,Senior Management,13,15,,Wuzzuf,Operations,Management ,,E-Marketing,,Marketing,PR,Advertising,,Media/Journalism/Publishing,Market Research,Marketing,
Head of Marketing,Confidential,,Cairo,Egypt,Full Time,Manager,6,10,,Wuzzuf,Operations,Management ,,Market Research,,Marketing,PR,Advertising,,Media/Journalism/Publishing,Marketing Strategy,Marketing,
Head Of Primary,Eastlands International School,,Cairo,Egypt,Full Time,Manager,5,,,Wuzzuf,Operations,Management ,,Education,,Education,Teaching,,,Education,Teaching,Primary,
Head Of Sales,Eden Solutions,,Cairo,Egypt,Full Time,Manager,2,6,,Wuzzuf,Operations,Management ,,Sales,,Sales,Retail,,,Sales,sales skills,Sales Target,
HOD (School Department),Al mansour modern shool,,Sharqia,Egypt,Full Time,Manager,2,7,,Wuzzuf,Operations,Management ,,HOD,,Education,Teaching,,,Training/Instructor,Education,Science,
HORECA Manager,Fatura,,Cairo,Egypt,Full Time,Manager,10,15,,Wuzzuf,Operations,Management ,,HORECA,,Sales,Retail,,,HORECA,Sales,Sales Target,
Mall Operations Manager,Talaat Moustafa Group,,Cairo,Egypt,Full Time,Manager,5,8,,Wuzzuf,Operations,Management ,,Operations,,Operations,,,,,,,
Management Intern,DYNINNO Egypt,,Giza,Egypt,Internship,Student,,,,Wuzzuf,Operations,Management ,,Communication,,Communication,,,,,,,
Management Intern,DYNINNO Egypt,,Giza,Egypt,Freelance / Project,Entry Level,0,1,,Wuzzuf,Operations,Management ,,Management,,Management,,,,,,,
HSE Section Head,Confidential,,Giza,Egypt,Full Time,Manager,6,10,· males_only,Wuzzuf,Operations,Management ,,Manufacturing,,Engineering,Other,,,Manufacturing,English,Microsoft Office,
Industrial Sales Area Manager,Sphinx Glass,,Cairo,Egypt,Full Time,Manager,5,10,,Wuzzuf,Operations,Management ,,B2B,,Sales,Retail,,,B2B,Building Materials,Sales,
Influencers Unit Head,MarketeersHub,,Giza,Egypt,Full Time,Manager,4,,,Wuzzuf,Operations,Management ,,Marketing,,Marketing,PR,Advertising,,Sales/Retail,Influencer Marketing,English,
Information Security GRC Manager ,AFKAR Technology,,Cairo,Egypt,Full Time,Manager,10,12,,Wuzzuf,Operations,Management ,,CISM,,Engineering,Telecom,Technology,,CISM,CISSP,Information Technology (IT),
