Title,Company Name,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
ERP Consultant,Ibn Sina Pharma,Cairo,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,Accounting,Software Development,None,None,Engineering - Telecom/Technology,coding,Communication,None,None,None,None,None,None
ERP Consultant (Odoo),Tawzef,Cairo,Egypt,Full Time,Experienced,7.0,10.0,Wuzzuf,Accounting,Software Development,None,None,Engineering - Telecom/Technology,Information Technology (IT),Computer Science,None,None,None,None,None,None
Video Editor,EL KHETA,San Stefano,Egypt,Freelance / Project,Entry Level,1.0,2.0,Wuzzuf,Creative,Adobe illustrator,Media/Journalism/Publishing,Adobe illustrator,Adobe Photoshop,Adobe Premiere,Video Editing,None,None,None,None,None,None
Video Editor - Film Maker,Qawafil For Real Estate Investment,New Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Creative,Adobe Photoshop,Marketing/PR/Advertising,Media/Journalism/Publishing,Adobe After Effects,Adobe Premiere,final cut,None,None,None,None,None,None
Videographer / Editor,Abda Creative Agency,Mohandessin,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Creative,Adobe Premiere,Marketing/PR/Advertising,Media/Journalism/Publishing,Video Editing,Adobe After Effects,photoshop,None,None,None,None,None,None
ERP Functional Consultant,AFKAR Technology,Cairo,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,Accounting,Software Development,None,None,ERP,Technical Analysis,Information Technology (IT),None,None,None,None,None,None
Account Manager,E3mel Business for Financial & Managerial Consultancy,Maadi,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Customer Service,Communication skills,Sales/Retail,Communication skills,media,Account Management,Communication,None,None,None,None,None,None
ACM,Mico World Limited,Maadi,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Customer Service,Communication skills,Marketing/PR/Advertising,Sales/Retail,Customer Service,Communication,English,None,None,None,None,None,None
B2B Telesales Executive (Fluent English Speaker),GT World OF Beauty,Cairo,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Customer Service,Business Administration,Sales/Retail,Business Administration,Customer Service,Communication,B2B,None,None,None,None,None,None
Cabin Crew,Nile Air,Sheraton,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Customer Service,Travel,Tourism/Travel,Travel,Tourism,Customer Service,English,None,None,None,None,None,None
Call Center Advisor,Recovery franchise marketing services,6th of October,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Customer Service,Communication,Communication,Call Center,Call Center,Communication skills,CRM Systems,None,None,None,None,None,None
Call Center Advisor,Raya Customer Experience,Maadi,Egypt,Full Time,Entry Level,0.0,5.0,Wuzzuf,Customer Service,Call Center,Sales/Retail,Call Center,Customer Service,Customer Support,English,None,None,None,None,None,None
Call Center Agent,Confidential,Heliopolis,Egypt,Full Time,Entry Level,0.0,2.0,Wuzzuf,Customer Service,Call Center,Call Center,Customer Care,Customer Care,Customer Service,Customer Support,None,None,None,None,None,None
Call Center Agent,NowPay,Giza,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Customer Service,Call Center,Call Center,Communication skills,Communication skills,Customer,Customer Care,None,None,None,None,None,None
Call Center Agent,ProConsult,Maadi,Egypt,Full Time,Entry Level,0.0,0.0,Wuzzuf,Customer Service,Call Center,Call Center,Communication,Communication,Communication skills,Customer Service,None,None,None,None,None,None
Call Center Agent,La-Verde Real Estate,Sheraton,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Customer Service,Call Center,Call Center,Communication skills,Communication skills,Customer Care,Real Estate,None,None,None,None,None,None
Call Center Agent - Giza,Etisalat Misr,Giza,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,Customer Service,Call Center,Call Center,Customer Service,Customer Service,Customer Support,Customer Care,None,None,None,None,None,None
Call Center Agent - GoCozmo-Cairo,Air Arabia,Mohandessin,Egypt,Full Time,Entry Level,1.0,5.0,Wuzzuf,Customer Service,Call center agent,Sales/Retail,Tourism/Travel,Customer Support,Customer Service,Call Center,None,None,None,None,None,None
Call Center Agent - Marsa Matruh (Temporary),Confidential,Marsa Matruh,Egypt,Freelance / Project,Entry Level,1.0,2.0,Wuzzuf,Customer Service,Facilities Management,Facilities Management,Customer Service,Customer Service,Customer Care,Customer Support,None,None,None,None,None,None
Call Center Agent (Multi Skill / English Account ),Etisalat Misr,Maadi,Egypt,Full Time,Entry Level,0.0,5.0,Wuzzuf,Customer Service,Call Center,Call Center,Customer Care,Customer Care,Customer Service,English,None,None,None,None,None,None
